algorithm,performance_ratio_threshold,fraction_of_problems,target_residual
BasinGraph,1.0,0.56,0.001
BasinGraph,1.032270466816175,0.56,0.001
BasinGraph,1.065582316660884,0.56,0.001
BasinGraph,1.099969155450592,0.56,0.001
BasinGraph,1.1354656735803765,0.56,0.001
BasinGraph,1.172107680920558,0.58,0.001
BasinGraph,1.2099321429426886,0.58,0.001
BasinGraph,1.2489772180113443,0.58,0.001
BasinGraph,1.289282295879338,0.58,0.001
BasinGraph,1.3308880374251941,0.58,0.001
BasinGraph,1.3738364156729683,0.58,0.001
BasinGraph,1.4181707581357959,0.6,0.001
BasinGraph,1.4639357905258867,0.6,0.001
BasinGraph,1.5111776818750635,0.6,0.001
BasinGraph,1.5599440911113571,0.6,0.001
BasinGraph,1.6102842151386545,0.6,0.001
BasinGraph,1.662248838467897,0.62,0.001
BasinGraph,1.7158903844499007,0.62,0.001
BasinGraph,1.771262968161485,0.66,0.001
BasinGraph,1.8284224509982603,0.66,0.001
BasinGraph,1.887426497029149,0.66,0.001
BasinGraph,1.9483346311694978,0.66,0.001
BasinGraph,2.0112082992314577,0.66,0.001
BasinGraph,2.0761109299122222,0.66,0.001
BasinGraph,2.143107998782653,0.66,0.001
BasinGraph,2.2122670943408482,0.66,0.001
BasinGraph,2.2836579861972903,0.66,0.001
BasinGraph,2.357352695460363,0.66,0.001
BasinGraph,2.433425567393238,0.68,0.001
BasinGraph,2.5119533464154333,0.68,0.001
BasinGraph,2.5930152535247126,0.68,0.001
BasinGraph,2.6766930662174175,0.7,0.001
BasinGraph,2.7630712009878726,0.72,0.001
BasinGraph,2.8522367984900807,0.74,0.001
BasinGraph,2.944279811447628,0.74,0.001
BasinGraph,3.0392930954004833,0.74,0.001
BasinGraph,3.1373725023802344,0.74,0.001
BasinGraph,3.238616977608276,0.76,0.001
BasinGraph,3.3431286593144853,0.76,0.001
BasinGraph,3.451012981777097,0.76,0.001
BasinGraph,3.5623787816877246,0.76,0.001
BasinGraph,3.677338407948824,0.78,0.001
BasinGraph,3.796007835014383,0.8,0.001
BasinGraph,3.9185067798881548,0.8,0.001
BasinGraph,4.044958822897493,0.8,0.001
BasinGraph,4.1754915323646005,0.8,0.001
BasinGraph,4.310236593300993,0.8,0.001
BasinGraph,4.449329940254976,0.8,0.001
BasinGraph,4.592911894446188,0.8,0.001
BasinGraph,4.74112730532553,0.8,0.001
BasinGraph,4.894125696703299,0.82,0.001
BasinGraph,5.052061417592952,0.82,0.001
BasinGraph,5.215093797922664,0.82,0.001
BasinGraph,5.383387309271767,0.82,0.001
BasinGraph,5.557111730794241,0.84,0.001
BasinGraph,5.736442320496613,0.84,0.001
BasinGraph,5.921559992043101,0.84,0.001
BasinGraph,6.1126514972663175,0.84,0.001
BasinGraph,6.309909614567694,0.84,0.001
BasinGraph,6.513533343397664,0.84,0.001
BasinGraph,6.723728105011829,0.84,0.001
BasinGraph,6.940705949705596,0.84,0.001
BasinGraph,7.1646857707364004,0.84,0.001
BasinGraph,7.39589352514927,0.84,0.001
BasinGraph,7.634562461728565,0.84,0.001
BasinGraph,7.880933356305793,0.84,0.001
BasinGraph,8.135254754660945,0.84,0.001
BasinGraph,8.397783223262364,0.84,0.001
BasinGraph,8.668783608098082,0.84,0.001
BasinGraph,8.948529301859814,0.84,0.001
BasinGraph,9.23730251974905,0.84,0.001
BasinGraph,9.535394584183583,0.84,0.001
BasinGraph,9.843106218691615,0.84,0.001
BasinGraph,10.16074785128999,0.84,0.001
BasinGraph,10.488639927652564,0.84,0.001
BasinGraph,10.827113234384683,0.84,0.001
BasinGraph,11.176509232729869,0.84,0.001
BasinGraph,11.537180403045351,0.84,0.001
BasinGraph,11.909490600394049,0.84,0.001
BasinGraph,12.293815421611614,0.84,0.001
BasinGraph,12.690542584218917,0.84,0.001
BasinGraph,13.100072317562208,0.84,0.001
BasinGraph,13.522817766575592,0.84,0.001
BasinGraph,13.95920540857305,0.84,0.001
BasinGraph,14.409675483490583,0.84,0.001
BasinGraph,14.874682438012416,0.84,0.001
BasinGraph,15.354695384029435,0.84,0.001
BasinGraph,15.850198571892232,0.84,0.001
BasinGraph,16.361691878936274,0.84,0.001
BasinGraph,16.889691313771966,0.84,0.001
BasinGraph,17.43472953684848,0.84,0.001
BasinGraph,17.997356397816333,0.84,0.001
BasinGraph,18.57813949023095,0.84,0.001
BasinGraph,19.177664724156717,0.84,0.001
BasinGraph,19.796536917249345,0.84,0.001
BasinGraph,20.43538040491262,0.84,0.001
BasinGraph,21.094839670145277,0.86,0.001
BasinGraph,21.77557999371323,0.86,0.001
BasinGraph,22.478288125303315,0.86,0.001
BasinGraph,23.203672976335348,0.86,0.001
BasinGraph,23.952466335131554,0.86,0.001
BasinGraph,24.725423605164963,0.86,0.001
BasinGraph,25.523324567131308,0.86,0.001
BasinGraph,26.346974165613393,0.86,0.001
BasinGraph,27.19720332113144,0.86,0.001
BasinGraph,28.074869768398774,0.86,0.001
BasinGraph,28.980858921628318,0.86,0.001
BasinGraph,29.91608476776299,0.86,0.001
BasinGraph,30.88149078853096,0.88,0.001
BasinGraph,31.87805091225626,0.88,0.001
BasinGraph,32.90677049638456,0.88,0.001
BasinGraph,33.96868734171564,0.88,0.001
BasinGraph,35.0648727393655,0.88,0.001
BasinGraph,36.19643255151459,0.88,0.001
BasinGraph,37.364508327032155,0.88,0.001
BasinGraph,38.57027845310236,0.88,0.001
BasinGraph,39.81495934401382,0.88,0.001
BasinGraph,41.099806668312176,0.88,0.001
BasinGraph,42.42611661555315,0.88,0.001
BasinGraph,43.79522720393455,0.88,0.001
BasinGraph,45.20851963012596,0.88,0.001
BasinGraph,46.66741966265833,0.88,0.001
BasinGraph,48.17339908027866,0.88,0.001
BasinGraph,49.72797715672117,0.88,0.001
BasinGraph,51.33272219339265,0.88,0.001
BasinGraph,52.98925310151845,0.88,0.001
BasinGraph,54.6992410353449,0.88,0.001
BasinGraph,56.46441107804598,0.9,0.001
BasinGraph,58.28654398203492,0.9,0.001
BasinGraph,60.167477965436696,0.9,0.001
BasinGraph,62.10911056653329,0.9,0.001
BasinGraph,64.11340055805275,0.9,0.001
BasinGraph,66.18236992323352,0.9,0.001
BasinGraph,68.31810589565704,0.9,0.001
BasinGraph,70.5227630649068,0.9,0.001
BasinGraph,72.79856555017784,0.9,0.001
BasinGraph,75.14780924402999,0.9,0.001
BasinGraph,77.5728641285477,0.9,0.001
BasinGraph,80.0761766662437,0.9,0.001
BasinGraph,82.66027226811788,0.9,0.001
BasinGraph,85.32775784136216,0.9,0.001
BasinGraph,88.08132441928045,0.9,0.001
BasinGraph,90.92374987607762,0.9,0.001
BasinGraph,93.85790172925577,0.9,0.001
BasinGraph,96.88674003244553,0.9,0.001
BasinGraph,100.01332036158993,0.9,0.001
BasinGraph,103.24079689749414,0.9,0.001
BasinGraph,106.57242560785014,0.9,0.001
BasinGraph,110.01156753194759,0.9,0.001
BasinGraph,113.56169217138275,0.9,0.001
BasinGraph,117.22638099018796,0.9,0.001
BasinGraph,121.00933102791217,0.9,0.001
BasinGraph,124.914358629296,0.9,0.001
BasinGraph,128.9454032943064,0.9,0.001
BasinGraph,133.10653165241368,0.9,0.001
BasinGraph,137.40194156511896,0.9,0.001
BasinGraph,141.8359663608742,0.9,0.001
BasinGraph,146.41307920666299,0.9,0.001
BasinGraph,151.13789762065554,0.9,0.001
BasinGraph,156.0151881304894,0.9,0.001
BasinGraph,161.04987108187373,0.9,0.001
BasinGraph,166.2470256023705,0.9,0.001
BasinGraph,171.6118947253597,0.9,0.001
BasinGraph,177.1498906793554,0.9,0.001
BasinGraph,182.86660034801247,0.9,0.001
BasinGraph,188.76779090632982,0.9,0.001
BasinGraph,194.8594156387351,0.9,0.001
BasinGraph,201.14761994492423,0.9,0.001
BasinGraph,207.63874753950958,0.9,0.001
BasinGraph,214.33934685173534,0.9,0.001
BasinGraph,221.256177631715,0.9,0.001
BasinGraph,228.39621776985308,0.9,0.001
BasinGraph,235.76667033633487,0.9,0.001
BasinGraph,243.37497084778374,0.9,0.001
BasinGraph,251.22879476841456,0.9,0.001
BasinGraph,259.33606525325644,0.9,0.001
BasinGraph,267.70496114124916,0.9,0.001
BasinGraph,276.3439252062831,0.9,0.001
BasinGraph,285.26167267450415,0.9,0.001
BasinGraph,294.46720001647344,0.9,0.001
BasinGraph,303.9697940230568,0.9,0.001
BasinGraph,313.7790411741976,0.9,0.001
BasinGraph,323.9048373100205,0.9,0.001
BasinGraph,334.35739761403227,0.9,0.001
BasinGraph,345.1472669184787,0.9,0.001
BasinGraph,356.28533034226473,0.9,0.001
BasinGraph,367.78282427216493,0.9,0.001
BasinGraph,379.6513476983991,0.9,0.001
BasinGraph,391.9028739160162,0.9,0.001
BasinGraph,404.5497626038868,0.9,0.001
BasinGraph,417.60477229348675,0.9,0.001
BasinGraph,431.0810732400602,0.9,0.001
BasinGraph,444.9922607091349,0.9,0.001
BasinGraph,459.35236869180346,0.9,0.001
BasinGraph,474.17588406260387,0.9,0.001
BasinGraph,489.4777611942768,0.9,0.001
BasinGraph,505.27343704415205,0.9,0.001
BasinGraph,521.5788467273803,0.9,0.001
BasinGraph,538.4104395927153,0.9,0.001
BasinGraph,555.7851958170738,0.9,0.001
BasinGraph,573.7206435356103,0.9,0.001
BasinGraph,592.2348765245805,0.9,0.001
BasinGraph,611.3465724548487,0.9,0.001
BasinGraph,631.0750117344355,0.9,0.001
BasinGraph,651.4400969591285,0.9,0.001
BasinGraph,672.4623729907742,0.9,0.001
BasinGraph,694.1630476834996,0.9,0.001
BasinGraph,716.5640132787845,0.9,0.001
BasinGraph,739.687868490963,0.9,0.001
BasinGraph,763.5579413054273,0.9,0.001
BasinGraph,788.1983125125514,0.9,0.001
BasinGraph,813.6338400010532,0.9,0.001
BasinGraph,839.8901838353238,0.9,0.001
BasinGraph,866.993832142013,0.9,0.001
BasinGraph,894.9721278319807,0.9,0.001
BasinGraph,923.8532961845837,0.9,0.001
BasinGraph,953.6664733221226,0.9,0.001
BasinGraph,984.4417356031622,0.9,0.001
BasinGraph,1016.2101299644022,0.9,0.001
BasinGraph,1049.0037052416799,0.9,0.001
BasinGraph,1082.8555445017255,0.9,0.001
BasinGraph,1117.79979841728,0.9,0.001
BasinGraph,1153.8717197192325,0.9,0.001
BasinGraph,1191.107698760554,0.9,0.001
BasinGraph,1229.5453002278975,0.9,0.001
BasinGraph,1269.2233010378866,0.9,0.001
BasinGraph,1310.181729456345,0.9,0.001
BasinGraph,1352.4619054799252,0.9,0.001
BasinGraph,1396.1064825208553,0.9,0.001
BasinGraph,1441.159490436892,0.9,0.001
BasinGraph,1487.666379949852,0.9,0.001
BasinGraph,1535.674068497562,0.9,0.001
BasinGraph,1585.2309875654737,0.9,0.001
BasinGraph,1636.3871315456786,0.9,0.001
BasinGraph,1689.1941081726382,0.9,0.001
BasinGraph,1743.7051905865023,0.9,0.001
BasinGraph,1799.975371076515,0.9,0.001
BasinGraph,1858.0614165587729,0.9,0.001
BasinGraph,1918.0219258442487,0.9,0.001
BasinGraph,1979.9173887549005,0.9,0.001
BasinGraph,2043.8102471474845,0.9,0.001
BasinGraph,2109.7649579066165,0.9,0.001
BasinGraph,2177.8480579706697,0.9,0.001
BasinGraph,2248.1282314560844,0.9,0.001
BasinGraph,2320.6763789477927,0.9,0.001
BasinGraph,2395.5656890257096,0.9,0.001
BasinGraph,2472.8717120993824,0.9,0.001
BasinGraph,2552.672436625342,0.9,0.001
BasinGraph,2635.0483677840257,0.9,0.001
BasinGraph,2720.0826086956167,0.9,0.001
BIPOP-CMA-ES,1.0,0.06,0.001
BIPOP-CMA-ES,1.032270466816175,0.06,0.001
BIPOP-CMA-ES,1.065582316660884,0.06,0.001
BIPOP-CMA-ES,1.099969155450592,0.06,0.001
BIPOP-CMA-ES,1.1354656735803765,0.06,0.001
BIPOP-CMA-ES,1.172107680920558,0.06,0.001
BIPOP-CMA-ES,1.2099321429426886,0.06,0.001
BIPOP-CMA-ES,1.2489772180113443,0.06,0.001
BIPOP-CMA-ES,1.289282295879338,0.06,0.001
BIPOP-CMA-ES,1.3308880374251941,0.06,0.001
BIPOP-CMA-ES,1.3738364156729683,0.06,0.001
BIPOP-CMA-ES,1.4181707581357959,0.06,0.001
BIPOP-CMA-ES,1.4639357905258867,0.06,0.001
BIPOP-CMA-ES,1.5111776818750635,0.06,0.001
BIPOP-CMA-ES,1.5599440911113571,0.06,0.001
BIPOP-CMA-ES,1.6102842151386545,0.06,0.001
BIPOP-CMA-ES,1.662248838467897,0.06,0.001
BIPOP-CMA-ES,1.7158903844499007,0.06,0.001
BIPOP-CMA-ES,1.771262968161485,0.08,0.001
BIPOP-CMA-ES,1.8284224509982603,0.08,0.001
BIPOP-CMA-ES,1.887426497029149,0.08,0.001
BIPOP-CMA-ES,1.9483346311694978,0.08,0.001
BIPOP-CMA-ES,2.0112082992314577,0.08,0.001
BIPOP-CMA-ES,2.0761109299122222,0.08,0.001
BIPOP-CMA-ES,2.143107998782653,0.08,0.001
BIPOP-CMA-ES,2.2122670943408482,0.08,0.001
BIPOP-CMA-ES,2.2836579861972903,0.12,0.001
BIPOP-CMA-ES,2.357352695460363,0.12,0.001
BIPOP-CMA-ES,2.433425567393238,0.12,0.001
BIPOP-CMA-ES,2.5119533464154333,0.12,0.001
BIPOP-CMA-ES,2.5930152535247126,0.12,0.001
BIPOP-CMA-ES,2.6766930662174175,0.12,0.001
BIPOP-CMA-ES,2.7630712009878726,0.12,0.001
BIPOP-CMA-ES,2.8522367984900807,0.12,0.001
BIPOP-CMA-ES,2.944279811447628,0.12,0.001
BIPOP-CMA-ES,3.0392930954004833,0.12,0.001
BIPOP-CMA-ES,3.1373725023802344,0.14,0.001
BIPOP-CMA-ES,3.238616977608276,0.16,0.001
BIPOP-CMA-ES,3.3431286593144853,0.16,0.001
BIPOP-CMA-ES,3.451012981777097,0.16,0.001
BIPOP-CMA-ES,3.5623787816877246,0.18,0.001
BIPOP-CMA-ES,3.677338407948824,0.18,0.001
BIPOP-CMA-ES,3.796007835014383,0.18,0.001
BIPOP-CMA-ES,3.9185067798881548,0.18,0.001
BIPOP-CMA-ES,4.044958822897493,0.18,0.001
BIPOP-CMA-ES,4.1754915323646005,0.18,0.001
BIPOP-CMA-ES,4.310236593300993,0.18,0.001
BIPOP-CMA-ES,4.449329940254976,0.18,0.001
BIPOP-CMA-ES,4.592911894446188,0.2,0.001
BIPOP-CMA-ES,4.74112730532553,0.2,0.001
BIPOP-CMA-ES,4.894125696703299,0.2,0.001
BIPOP-CMA-ES,5.052061417592952,0.2,0.001
BIPOP-CMA-ES,5.215093797922664,0.2,0.001
BIPOP-CMA-ES,5.383387309271767,0.2,0.001
BIPOP-CMA-ES,5.557111730794241,0.2,0.001
BIPOP-CMA-ES,5.736442320496613,0.24,0.001
BIPOP-CMA-ES,5.921559992043101,0.24,0.001
BIPOP-CMA-ES,6.1126514972663175,0.24,0.001
BIPOP-CMA-ES,6.309909614567694,0.24,0.001
BIPOP-CMA-ES,6.513533343397664,0.24,0.001
BIPOP-CMA-ES,6.723728105011829,0.24,0.001
BIPOP-CMA-ES,6.940705949705596,0.24,0.001
BIPOP-CMA-ES,7.1646857707364004,0.26,0.001
BIPOP-CMA-ES,7.39589352514927,0.26,0.001
BIPOP-CMA-ES,7.634562461728565,0.26,0.001
BIPOP-CMA-ES,7.880933356305793,0.26,0.001
BIPOP-CMA-ES,8.135254754660945,0.26,0.001
BIPOP-CMA-ES,8.397783223262364,0.26,0.001
BIPOP-CMA-ES,8.668783608098082,0.26,0.001
BIPOP-CMA-ES,8.948529301859814,0.26,0.001
BIPOP-CMA-ES,9.23730251974905,0.26,0.001
BIPOP-CMA-ES,9.535394584183583,0.26,0.001
BIPOP-CMA-ES,9.843106218691615,0.26,0.001
BIPOP-CMA-ES,10.16074785128999,0.26,0.001
BIPOP-CMA-ES,10.488639927652564,0.26,0.001
BIPOP-CMA-ES,10.827113234384683,0.26,0.001
BIPOP-CMA-ES,11.176509232729869,0.26,0.001
BIPOP-CMA-ES,11.537180403045351,0.26,0.001
BIPOP-CMA-ES,11.909490600394049,0.26,0.001
BIPOP-CMA-ES,12.293815421611614,0.26,0.001
BIPOP-CMA-ES,12.690542584218917,0.28,0.001
BIPOP-CMA-ES,13.100072317562208,0.28,0.001
BIPOP-CMA-ES,13.522817766575592,0.3,0.001
BIPOP-CMA-ES,13.95920540857305,0.3,0.001
BIPOP-CMA-ES,14.409675483490583,0.3,0.001
BIPOP-CMA-ES,14.874682438012416,0.3,0.001
BIPOP-CMA-ES,15.354695384029435,0.3,0.001
BIPOP-CMA-ES,15.850198571892232,0.3,0.001
BIPOP-CMA-ES,16.361691878936274,0.3,0.001
BIPOP-CMA-ES,16.889691313771966,0.32,0.001
BIPOP-CMA-ES,17.43472953684848,0.32,0.001
BIPOP-CMA-ES,17.997356397816333,0.32,0.001
BIPOP-CMA-ES,18.57813949023095,0.32,0.001
BIPOP-CMA-ES,19.177664724156717,0.32,0.001
BIPOP-CMA-ES,19.796536917249345,0.32,0.001
BIPOP-CMA-ES,20.43538040491262,0.32,0.001
BIPOP-CMA-ES,21.094839670145277,0.32,0.001
BIPOP-CMA-ES,21.77557999371323,0.32,0.001
BIPOP-CMA-ES,22.478288125303315,0.32,0.001
BIPOP-CMA-ES,23.203672976335348,0.32,0.001
BIPOP-CMA-ES,23.952466335131554,0.32,0.001
BIPOP-CMA-ES,24.725423605164963,0.32,0.001
BIPOP-CMA-ES,25.523324567131308,0.32,0.001
BIPOP-CMA-ES,26.346974165613393,0.32,0.001
BIPOP-CMA-ES,27.19720332113144,0.32,0.001
BIPOP-CMA-ES,28.074869768398774,0.32,0.001
BIPOP-CMA-ES,28.980858921628318,0.32,0.001
BIPOP-CMA-ES,29.91608476776299,0.32,0.001
BIPOP-CMA-ES,30.88149078853096,0.32,0.001
BIPOP-CMA-ES,31.87805091225626,0.32,0.001
BIPOP-CMA-ES,32.90677049638456,0.32,0.001
BIPOP-CMA-ES,33.96868734171564,0.32,0.001
BIPOP-CMA-ES,35.0648727393655,0.32,0.001
BIPOP-CMA-ES,36.19643255151459,0.32,0.001
BIPOP-CMA-ES,37.364508327032155,0.32,0.001
BIPOP-CMA-ES,38.57027845310236,0.34,0.001
BIPOP-CMA-ES,39.81495934401382,0.34,0.001
BIPOP-CMA-ES,41.099806668312176,0.34,0.001
BIPOP-CMA-ES,42.42611661555315,0.34,0.001
BIPOP-CMA-ES,43.79522720393455,0.34,0.001
BIPOP-CMA-ES,45.20851963012596,0.34,0.001
BIPOP-CMA-ES,46.66741966265833,0.34,0.001
BIPOP-CMA-ES,48.17339908027866,0.34,0.001
BIPOP-CMA-ES,49.72797715672117,0.34,0.001
BIPOP-CMA-ES,51.33272219339265,0.34,0.001
BIPOP-CMA-ES,52.98925310151845,0.34,0.001
BIPOP-CMA-ES,54.6992410353449,0.34,0.001
BIPOP-CMA-ES,56.46441107804598,0.34,0.001
BIPOP-CMA-ES,58.28654398203492,0.34,0.001
BIPOP-CMA-ES,60.167477965436696,0.34,0.001
BIPOP-CMA-ES,62.10911056653329,0.34,0.001
BIPOP-CMA-ES,64.11340055805275,0.34,0.001
BIPOP-CMA-ES,66.18236992323352,0.34,0.001
BIPOP-CMA-ES,68.31810589565704,0.34,0.001
BIPOP-CMA-ES,70.5227630649068,0.34,0.001
BIPOP-CMA-ES,72.79856555017784,0.36,0.001
BIPOP-CMA-ES,75.14780924402999,0.36,0.001
BIPOP-CMA-ES,77.5728641285477,0.36,0.001
BIPOP-CMA-ES,80.0761766662437,0.36,0.001
BIPOP-CMA-ES,82.66027226811788,0.36,0.001
BIPOP-CMA-ES,85.32775784136216,0.36,0.001
BIPOP-CMA-ES,88.08132441928045,0.36,0.001
BIPOP-CMA-ES,90.92374987607762,0.36,0.001
BIPOP-CMA-ES,93.85790172925577,0.36,0.001
BIPOP-CMA-ES,96.88674003244553,0.36,0.001
BIPOP-CMA-ES,100.01332036158993,0.36,0.001
BIPOP-CMA-ES,103.24079689749414,0.36,0.001
BIPOP-CMA-ES,106.57242560785014,0.36,0.001
BIPOP-CMA-ES,110.01156753194759,0.36,0.001
BIPOP-CMA-ES,113.56169217138275,0.36,0.001
BIPOP-CMA-ES,117.22638099018796,0.36,0.001
BIPOP-CMA-ES,121.00933102791217,0.36,0.001
BIPOP-CMA-ES,124.914358629296,0.36,0.001
BIPOP-CMA-ES,128.9454032943064,0.36,0.001
BIPOP-CMA-ES,133.10653165241368,0.36,0.001
BIPOP-CMA-ES,137.40194156511896,0.36,0.001
BIPOP-CMA-ES,141.8359663608742,0.36,0.001
BIPOP-CMA-ES,146.41307920666299,0.36,0.001
BIPOP-CMA-ES,151.13789762065554,0.36,0.001
BIPOP-CMA-ES,156.0151881304894,0.36,0.001
BIPOP-CMA-ES,161.04987108187373,0.36,0.001
BIPOP-CMA-ES,166.2470256023705,0.36,0.001
BIPOP-CMA-ES,171.6118947253597,0.36,0.001
BIPOP-CMA-ES,177.1498906793554,0.36,0.001
BIPOP-CMA-ES,182.86660034801247,0.36,0.001
BIPOP-CMA-ES,188.76779090632982,0.36,0.001
BIPOP-CMA-ES,194.8594156387351,0.36,0.001
BIPOP-CMA-ES,201.14761994492423,0.36,0.001
BIPOP-CMA-ES,207.63874753950958,0.36,0.001
BIPOP-CMA-ES,214.33934685173534,0.36,0.001
BIPOP-CMA-ES,221.256177631715,0.36,0.001
BIPOP-CMA-ES,228.39621776985308,0.36,0.001
BIPOP-CMA-ES,235.76667033633487,0.36,0.001
BIPOP-CMA-ES,243.37497084778374,0.36,0.001
BIPOP-CMA-ES,251.22879476841456,0.36,0.001
BIPOP-CMA-ES,259.33606525325644,0.36,0.001
BIPOP-CMA-ES,267.70496114124916,0.36,0.001
BIPOP-CMA-ES,276.3439252062831,0.36,0.001
BIPOP-CMA-ES,285.26167267450415,0.36,0.001
BIPOP-CMA-ES,294.46720001647344,0.36,0.001
BIPOP-CMA-ES,303.9697940230568,0.36,0.001
BIPOP-CMA-ES,313.7790411741976,0.36,0.001
BIPOP-CMA-ES,323.9048373100205,0.38,0.001
BIPOP-CMA-ES,334.35739761403227,0.38,0.001
BIPOP-CMA-ES,345.1472669184787,0.38,0.001
BIPOP-CMA-ES,356.28533034226473,0.38,0.001
BIPOP-CMA-ES,367.78282427216493,0.38,0.001
BIPOP-CMA-ES,379.6513476983991,0.38,0.001
BIPOP-CMA-ES,391.9028739160162,0.38,0.001
BIPOP-CMA-ES,404.5497626038868,0.38,0.001
BIPOP-CMA-ES,417.60477229348675,0.38,0.001
BIPOP-CMA-ES,431.0810732400602,0.38,0.001
BIPOP-CMA-ES,444.9922607091349,0.38,0.001
BIPOP-CMA-ES,459.35236869180346,0.38,0.001
BIPOP-CMA-ES,474.17588406260387,0.38,0.001
BIPOP-CMA-ES,489.4777611942768,0.38,0.001
BIPOP-CMA-ES,505.27343704415205,0.38,0.001
BIPOP-CMA-ES,521.5788467273803,0.38,0.001
BIPOP-CMA-ES,538.4104395927153,0.38,0.001
BIPOP-CMA-ES,555.7851958170738,0.38,0.001
BIPOP-CMA-ES,573.7206435356103,0.38,0.001
BIPOP-CMA-ES,592.2348765245805,0.38,0.001
BIPOP-CMA-ES,611.3465724548487,0.38,0.001
BIPOP-CMA-ES,631.0750117344355,0.38,0.001
BIPOP-CMA-ES,651.4400969591285,0.38,0.001
BIPOP-CMA-ES,672.4623729907742,0.38,0.001
BIPOP-CMA-ES,694.1630476834996,0.38,0.001
BIPOP-CMA-ES,716.5640132787845,0.38,0.001
BIPOP-CMA-ES,739.687868490963,0.38,0.001
BIPOP-CMA-ES,763.5579413054273,0.38,0.001
BIPOP-CMA-ES,788.1983125125514,0.38,0.001
BIPOP-CMA-ES,813.6338400010532,0.38,0.001
BIPOP-CMA-ES,839.8901838353238,0.38,0.001
BIPOP-CMA-ES,866.993832142013,0.38,0.001
BIPOP-CMA-ES,894.9721278319807,0.38,0.001
BIPOP-CMA-ES,923.8532961845837,0.38,0.001
BIPOP-CMA-ES,953.6664733221226,0.38,0.001
BIPOP-CMA-ES,984.4417356031622,0.38,0.001
BIPOP-CMA-ES,1016.2101299644022,0.38,0.001
BIPOP-CMA-ES,1049.0037052416799,0.38,0.001
BIPOP-CMA-ES,1082.8555445017255,0.38,0.001
BIPOP-CMA-ES,1117.79979841728,0.38,0.001
BIPOP-CMA-ES,1153.8717197192325,0.38,0.001
BIPOP-CMA-ES,1191.107698760554,0.38,0.001
BIPOP-CMA-ES,1229.5453002278975,0.38,0.001
BIPOP-CMA-ES,1269.2233010378866,0.38,0.001
BIPOP-CMA-ES,1310.181729456345,0.38,0.001
BIPOP-CMA-ES,1352.4619054799252,0.38,0.001
BIPOP-CMA-ES,1396.1064825208553,0.38,0.001
BIPOP-CMA-ES,1441.159490436892,0.38,0.001
BIPOP-CMA-ES,1487.666379949852,0.38,0.001
BIPOP-CMA-ES,1535.674068497562,0.38,0.001
BIPOP-CMA-ES,1585.2309875654737,0.38,0.001
